28-Jan-2019 02:29:10.084 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
28-Jan-2019 02:29:10.473 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
28-Jan-2019 02:30:38.839 INFO [TC: 02:30:38 Stage: Initializing TeamCity server components; TeamCity Server (version 2018.2.2 build 61245 started 2019-01-28 02:29:12.297), node id: MAIN_SERVER] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'buildServer'
28-Jan-2019 02:31:46.904 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
28-Jan-2019 02:31:47.144 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
28-Jan-2019 02:31:47.281 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
28-Jan-2019 02:31:48.350 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
28-Jan-2019 02:31:48.650 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
28-Jan-2019 02:31:49.078 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
28-Jan-2019 02:31:53.394 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
28-Jan-2019 02:31:53.434 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
28-Jan-2019 02:31:53.440 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
28-Jan-2019 02:31:53.484 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
28-Jan-2019 02:31:53.516 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
28-Jan-2019 02:31:53.521 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
28-Jan-2019 02:31:54.216 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
28-Jan-2019 02:31:54.281 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
28-Jan-2019 02:31:54.287 INFO [TC: 02:31:45 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
