[2019-01-27 08:26:14,171] ================================================================ (start)
[2019-01-27 08:26:16,236] * Configuring JetBrains YouTrack 2018.4 
[2019-01-27 08:26:16,248] * Made default base-url 'http://localhost:8080/' from hostname 'localhost' and listen port '8080' 
[2019-01-27 08:26:16,270] * JetBrains YouTrack 2018.4 runtime environment is successfully configured 
[2019-01-27 08:26:16,492] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2019-01-27 08:26:16,493] * Redirecting JetBrains YouTrack 2018.4 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2019-01-27 08:26:16,882] * Configuring Service-Container[bundleProcess] 
[2019-01-27 08:26:16,904] * Configuring Bundle Backend Service 
[2019-01-27 08:26:16,915] * Configuring Configuration Wizard 
[2019-01-27 08:26:16,938] * Starting Service-Container[bundleProcess] 
[2019-01-27 08:26:17,323] * Starting Bundle Backend Service 
[2019-01-27 08:26:22,387] * Starting Configuration Wizard 
[2019-01-27 08:26:22,388] * JetBrains YouTrack 2018.4 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/?wizard_token=7P2y6yd6I2ccjUlwpjKN] 
[2019-01-27 08:29:16,128] * Stopping Configuration Wizard 
[2019-01-27 08:29:16,151] * Stopping Bundle Backend Service 
[2019-01-27 08:29:16,163] * Stopping Service-Container[bundleProcess] 
[2019-01-27 08:29:16,757] ================================================================ (finish)
[2019-01-27 08:34:35,719] ================================================================ (start)
[2019-01-27 08:34:37,884] * Configuring JetBrains YouTrack 2018.4 
[2019-01-27 08:34:37,895] * JetBrains YouTrack 2018.4 runtime environment is successfully configured 
[2019-01-27 08:34:38,078] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2019-01-27 08:34:38,079] * Redirecting JetBrains YouTrack 2018.4 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2019-01-27 08:34:38,501] * Configuring Service-Container[bundleProcess] 
[2019-01-27 08:34:38,502] * Configuring Bundle Backend Service 
[2019-01-27 08:34:38,513] * Configuring Configuration Wizard 
[2019-01-27 08:34:38,546] * Starting Service-Container[bundleProcess] 
[2019-01-27 08:34:38,950] * Starting Bundle Backend Service 
[2019-01-27 08:34:43,613] * Starting Configuration Wizard 
[2019-01-27 08:34:43,615] * JetBrains YouTrack 2018.4 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/?wizard_token=OIwxmWTfbDGJNV3pcMN7] 
[2019-01-27 08:45:36,473] * Stopping Configuration Wizard 
[2019-01-27 08:45:36,495] * Stopping Bundle Backend Service 
[2019-01-27 08:45:36,507] * Stopping Service-Container[bundleProcess] 
[2019-01-27 08:45:37,111] ================================================================ (finish)
[2019-01-27 08:45:48,475] ================================================================ (start)
[2019-01-27 08:45:50,515] * Configuring JetBrains YouTrack 2018.4 
[2019-01-27 08:45:50,526] * JetBrains YouTrack 2018.4 runtime environment is successfully configured 
[2019-01-27 08:45:50,787] * Loading logging configuration from /opt/youtrack/lib/ext/log4j.xml 
[2019-01-27 08:45:50,799] * Redirecting JetBrains YouTrack 2018.4 logging to /opt/youtrack/logs/internal/services/bundleProcess 
[2019-01-27 08:45:51,302] * Configuring Service-Container[bundleProcess] 
[2019-01-27 08:45:51,324] * Configuring Bundle Backend Service 
[2019-01-27 08:45:51,337] * Configuring Configuration Wizard 
[2019-01-27 08:45:51,370] * Starting Service-Container[bundleProcess] 
[2019-01-27 08:45:51,773] * Starting Bundle Backend Service 
[2019-01-27 08:45:56,010] * Starting Configuration Wizard 
[2019-01-27 08:45:56,011] * JetBrains YouTrack 2018.4 Configuration Wizard will listen inside container on {0.0.0.0:8080}/ after start and can be accessed by URL [http://<put-your-docker-HOST-name-here>:<put-host-port-mapped-to-container-port-8080-here>/?wizard_token=69ZlYKQgo6ZSfRyt9PB7] 
[2019-01-27 09:08:41,993] ================================================================ (start)
[2019-01-27 09:08:45,697] * Configuring JetBrains YouTrack 2018.4 
